Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action
256,2,00:00:00:00:00:12,00:00:00:00:00:13,25,perm_block
261,1,00:00:00:00:00:16,00:00:00:00:00:13,21,perm_block
261,1,00:00:00:00:00:12,00:00:00:00:00:13,26,perm_block
261,2,00:00:00:00:00:16,00:00:00:00:00:13,19,perm_block
261,2,00:00:00:00:00:12,00:00:00:00:00:13,26,perm_block
266,1,00:00:00:00:00:16,00:00:00:00:00:13,22,perm_block
266,2,00:00:00:00:00:16,00:00:00:00:00:13,20,perm_block
271,1,00:00:00:00:00:16,00:00:00:00:00:13,23,perm_block
271,1,00:00:00:00:00:12,00:00:00:00:00:13,27,perm_block
271,2,00:00:00:00:00:16,00:00:00:00:00:13,21,perm_block
271,2,00:00:00:00:00:12,00:00:00:00:00:13,27,perm_block
276,1,00:00:00:00:00:16,00:00:00:00:00:13,24,perm_block
276,1,00:00:00:00:00:12,00:00:00:00:00:13,28,perm_block
276,2,00:00:00:00:00:16,00:00:00:00:00:13,22,perm_block
276,2,00:00:00:00:00:12,00:00:00:00:00:13,28,perm_block
281,1,00:00:00:00:00:16,00:00:00:00:00:13,25,perm_block
281,1,00:00:00:00:00:12,00:00:00:00:00:13,29,perm_block
281,2,00:00:00:00:00:16,00:00:00:00:00:13,23,perm_block
281,2,00:00:00:00:00:12,00:00:00:00:00:13,29,perm_block
286,1,00:00:00:00:00:12,00:00:00:00:00:13,30,perm_block
286,1,00:00:00:00:00:16,00:00:00:00:00:13,26,perm_block
286,2,00:00:00:00:00:12,00:00:00:00:00:13,30,perm_block
286,2,00:00:00:00:00:16,00:00:00:00:00:13,24,perm_block
291,1,00:00:00:00:00:16,00:00:00:00:00:13,27,perm_block
291,2,00:00:00:00:00:16,00:00:00:00:00:13,25,perm_block
296,1,00:00:00:00:00:16,00:00:00:00:00:13,28,perm_block
296,2,00:00:00:00:00:16,00:00:00:00:00:13,26,perm_block
301,1,00:00:00:00:00:16,00:00:00:00:00:13,29,perm_block
301,2,00:00:00:00:00:16,00:00:00:00:00:13,27,perm_block
301,2,00:00:00:00:00:12,00:00:00:00:00:13,31,perm_block
306,2,00:00:00:00:00:16,00:00:00:00:00:13,28,perm_block
306,2,00:00:00:00:00:12,00:00:00:00:00:13,32,perm_block
311,1,00:00:00:00:00:16,00:00:00:00:00:13,30,perm_block
311,1,00:00:00:00:00:12,00:00:00:00:00:13,31,perm_block
311,2,00:00:00:00:00:16,00:00:00:00:00:13,29,perm_block
311,2,00:00:00:00:00:12,00:00:00:00:00:13,33,perm_block
316,1,00:00:00:00:00:12,00:00:00:00:00:13,32,perm_block
