Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action
1615,1,00:00:00:00:00:12,00:00:00:00:00:13,28,perm_block
1635,2,00:00:00:00:00:16,00:00:00:00:00:13,20,perm_block
1635,2,00:00:00:00:00:12,00:00:00:00:00:13,30,perm_block
1640,2,00:00:00:00:00:12,00:00:00:00:00:13,31,perm_block
1665,2,00:00:00:00:00:16,00:00:00:00:00:13,21,perm_block
1665,2,00:00:00:00:00:12,00:00:00:00:00:13,32,perm_block
1670,1,00:00:00:00:00:12,00:00:00:00:00:13,29,perm_block
1670,2,00:00:00:00:00:12,00:00:00:00:00:13,33,perm_block
1695,1,00:00:00:00:00:16,00:00:00:00:00:13,23,perm_block
1695,1,00:00:00:00:00:12,00:00:00:00:00:13,30,perm_block
1695,2,00:00:00:00:00:16,00:00:00:00:00:13,22,perm_block
1700,1,00:00:00:00:00:16,00:00:00:00:00:13,24,perm_block
1710,1,00:00:00:00:00:12,00:00:00:00:00:13,31,perm_block
1710,1,00:00:00:00:00:16,00:00:00:00:00:13,25,perm_block
1710,2,00:00:00:00:00:12,00:00:00:00:00:13,34,perm_block
1715,1,00:00:00:00:00:12,00:00:00:00:00:13,32,perm_block
1725,2,00:00:00:00:00:16,00:00:00:00:00:13,23,perm_block
1730,1,00:00:00:00:00:16,00:00:00:00:00:13,26,perm_block
1730,2,00:00:00:00:00:16,00:00:00:00:00:13,24,perm_block
1735,1,00:00:00:00:00:12,00:00:00:00:00:13,33,perm_block
1735,2,00:00:00:00:00:16,00:00:00:00:00:13,25,perm_block
1735,2,00:00:00:00:00:12,00:00:00:00:00:13,35,perm_block
1790,2,00:00:00:00:00:12,00:00:00:00:00:13,36,perm_block
1880,1,00:00:00:00:00:12,00:00:00:00:00:13,34,perm_block
1880,2,00:00:00:00:00:12,00:00:00:00:00:13,37,perm_block
