Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action,sec
836,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,795
846,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,805
876,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,835
926,2,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block,885
936,2,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block,895
936,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,895
966,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,925
966,2,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block,925
976,2,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block,935
996,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,955
996,2,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block,955
1016,1,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block,975
1036,2,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block,995
1056,1,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block,1015
1056,2,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block,1015
1081,1,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block,1040
1086,1,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block,1045
1086,2,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block,1045
1106,1,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block,1065
1116,1,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block,1075
1116,2,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block,1075
1146,1,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block,1105
1146,2,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block,1105
1151,2,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block,1110
1166,2,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block,1125
1176,1,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block,1135
1176,2,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block,1135
1181,1,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block,1140
1181,2,00:00:00:00:00:12,00:00:00:00:00:13,19,perm_block,1140
1196,2,00:00:00:00:00:12,00:00:00:00:00:13,20,perm_block,1155
1276,1,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block,1235
175,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,134
185,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,144
195,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,154
256,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,215
256,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,215
266,1,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block,225
286,1,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block,245
286,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,245
316,1,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block,275
346,2,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block,305
376,1,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block,335
376,2,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block,335
381,2,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block,340
406,1,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block,365
406,2,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block,365
411,1,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block,370
441,1,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block,400
441,2,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block,400
466,1,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block,425
471,2,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block,430
486,2,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block,445
496,1,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block,455
496,2,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block,455
526,1,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block,485
526,2,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block,485
531,2,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block,490
556,1,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block,515
556,2,00:00:00:00:00:12,00:00:00:00:00:13,16,perm_block,515
581,1,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block,540
581,2,00:00:00:00:00:12,00:00:00:00:00:13,17,perm_block,540
591,2,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block,550
591,1,00:00:00:00:00:12,00:00:00:00:00:13,18,perm_block,550
616,2,00:00:00:00:00:12,00:00:00:00:00:13,19,perm_block,575
616,1,00:00:00:00:00:12,00:00:00:00:00:13,19,perm_block,575
621,1,00:00:00:00:00:12,00:00:00:00:00:13,20,perm_block,580
621,2,00:00:00:00:00:12,00:00:00:00:00:13,20,perm_block,580
641,2,00:00:00:00:00:12,00:00:00:00:00:13,21,perm_block,600
646,2,00:00:00:00:00:12,00:00:00:00:00:13,22,perm_block,605
651,1,00:00:00:00:00:12,00:00:00:00:00:13,21,perm_block,610
651,2,00:00:00:00:00:12,00:00:00:00:00:13,23,perm_block,610
671,2,00:00:00:00:00:12,00:00:00:00:00:13,24,perm_block,630
681,1,00:00:00:00:00:12,00:00:00:00:00:13,22,perm_block,640
681,2,00:00:00:00:00:12,00:00:00:00:00:13,25,perm_block,640
686,2,00:00:00:00:00:12,00:00:00:00:00:13,26,perm_block,645
86,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,45
96,1,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,55
96,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,55
121,1,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,80
131,1,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block,90
131,2,00:00:00:00:00:12,00:00:00:00:00:13,4,temp_block,90
141,1,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block,100
146,1,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block,105
151,1,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block,110
161,1,00:00:00:00:00:12,00:00:00:00:00:13,10,perm_block,120
161,2,00:00:00:00:00:12,00:00:00:00:00:13,5,perm_block,120
186,2,00:00:00:00:00:12,00:00:00:00:00:13,6,perm_block,145
211,1,00:00:00:00:00:12,00:00:00:00:00:13,11,perm_block,170
216,1,00:00:00:00:00:12,00:00:00:00:00:13,12,perm_block,175
