Seconds Since Start,Datapath,Eth Src,Eth Dst,Count,Action,sec
216,2,00:00:00:00:00:12,00:00:00:00:00:13,7,perm_block,175
221,2,00:00:00:00:00:12,00:00:00:00:00:13,8,perm_block,180
221,1,00:00:00:00:00:12,00:00:00:00:00:13,13,perm_block,180
231,1,00:00:00:00:00:12,00:00:00:00:00:13,14,perm_block,190
246,2,00:00:00:00:00:12,00:00:00:00:00:13,9,perm_block,205
246,1,00:00:00:00:00:12,00:00:00:00:00:13,15,perm_block,205
116,1,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,75
116,2,00:00:00:00:00:12,00:00:00:00:00:13,3,temp_block,75
141,1,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,100
521,1,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,480
526,1,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,485
531,1,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,490
536,1,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,495
591,2,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,550
596,2,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,555
601,2,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,560
606,2,00:00:00:00:00:52,00:00:00:00:00:13,0,Rate Limit at 100 kBps,565
