Seconds Since Start,Real Timestamp,Ethernet Src,Ethernet Dst,Protocol,Packet Count,Byte Count,Packet Rate,Byte Rate,CPU utilization,Duration (sec),Duration (nsec),Prediction,Priority,Idle Timeout,Hard Timeout,Datapath,Match Fields,Instructions
25,2025-04-23 13:17:17,00:00:00:00:00:15,00:00:00:00:00:13,TCP,1,66,17.24,1137.91,5.3,0,58000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:15', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:13,00:00:00:00:00:15,TCP,1,66,30.30,1999.94,5.3,0,33000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:15', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:52,00:00:00:00:00:13,ICMP,32,10923,1.38,471.33,16.2,23,175000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:52', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:13,00:00:00:00:00:52,ICMP,32,10923,1.38,471.51,16.2,23,166000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:52', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:51,00:00:00:00:00:13,TCP,8,678,16.49,1397.94,16.2,0,485000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:13,00:00:00:00:00:51,TCP,5,527,10.48,1104.82,16.2,0,477000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:15,00:00:00:00:00:13,TCP,1,66,19.61,1294.09,16.2,0,51000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:15', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
25,2025-04-23 13:17:17,00:00:00:00:00:13,00:00:00:00:00:15,TCP,3,310,69.77,7209.13,16.2,0,43000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:15', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:52,00:00:00:00:00:13,ICMP,42,13890,1.49,492.85,0.0,28,183000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:52', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:13,00:00:00:00:00:52,ICMP,42,13890,1.49,493.29,0.0,28,158000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:52', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:51,00:00:00:00:00:13,TCP,65,5151,11.83,937.57,0.0,5,494000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:13,00:00:00:00:00:51,TCP,43,4997,7.86,913.53,0.0,5,470000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:15,00:00:00:00:00:13,TCP,25,2637,4.94,521.25,0.0,5,59000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:15', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:13,00:00:00:00:00:15,TCP,32,2592,6.36,514.90,0.0,5,34000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:15', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:52,00:00:00:00:00:13,ICMP,42,13890,1.49,492.97,9.8,28,176000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:52', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:13,00:00:00:00:00:52,ICMP,42,13890,1.49,493.13,9.8,28,167000000,Normal_ICMP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:52', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:51,00:00:00:00:00:13,TCP,65,5151,11.85,938.94,9.8,5,486000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:13,00:00:00:00:00:51,TCP,43,4997,7.85,912.19,9.8,5,478000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:15,00:00:00:00:00:13,TCP,25,2637,4.95,521.97,9.8,5,52000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:15', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
30,2025-04-23 13:17:22,00:00:00:00:00:13,00:00:00:00:00:15,TCP,34,2836,6.74,562.25,9.8,5,44000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:15', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:51,00:00:00:00:00:13,TCP,101,8001,9.62,762.22,19.4,10,497000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:13,00:00:00:00:00:51,TCP,67,7763,6.40,741.24,19.4,10,473000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:15,00:00:00:00:00:13,TCP,40,4224,3.98,419.80,19.4,10,62000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:15', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:13,00:00:00:00:00:15,TCP,53,4338,5.28,432.20,19.4,10,37000000,Normal_TCP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:15', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:52,00:00:00:00:00:13,ICMP,6,2747,2.23,1020.43,19.4,2,692000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:52', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:13,00:00:00:00:00:52,ICMP,6,2747,2.25,1031.54,19.4,2,663000000,Normal_ICMP,1,20,30,1,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:52', 'eth_type': 2048, 'ip_proto': 1})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:51,00:00:00:00:00:13,TCP,101,8001,9.62,762.22,0.0,10,497000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:51', 'eth_dst': '00:00:00:00:00:13', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 1, 'type': 0}}], 'len': 24, 'type': 4}}]"
35,2025-04-23 13:17:27,00:00:00:00:00:13,00:00:00:00:00:51,TCP,67,7763,6.39,740.11,0.0,10,489000000,Normal_TCP,1,20,30,2,"OFPMatch(oxm_fields={'eth_src': '00:00:00:00:00:13', 'eth_dst': '00:00:00:00:00:51', 'eth_type': 2048, 'ip_proto': 6})","[{'OFPInstructionActions': {'actions': [{'OFPActionOutput': {'len': 16, 'max_len': 65509, 'port': 2, 'type': 0}}], 'len': 24, 'type': 4}}]"
