Timestamp,Eth Src,Action
2025-04-21 18:27:01,00:00:00:00:00:11,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_ICMP)
2025-04-21 18:27:01,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:05,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:05,00:00:00:00:00:16,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 4)"
2025-04-21 18:27:06,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:11,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:15,00:00:00:00:00:12,00:00:00:00:00:13,"Temporary Block (Prediction: DDoS_TCP, Detection Count: 3)"
2025-04-21 18:27:16,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:20,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:25,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:25,00:00:00:00:00:13,00:00:00:00:00:16,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:25,00:00:00:00:00:16,00:00:00:00:00:13,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:25,00:00:00:00:00:13,00:00:00:00:00:11,Rate Limit at 500kbps (Prediction: DDoS_ICMP)
2025-04-21 18:27:25,00:00:00:00:00:13,00:00:00:00:00:12,Rate Limit at 500kbps (Prediction: DDoS_TCP)
2025-04-21 18:27:26,00:00:00:00:00:16,00:00:00:00:00:13,"Permanent Block (Prediction: DDoS_TCP, Detection Count: 5)"
